gene	Kinetic_class	cluster	C6_12h	C6_1h	C6_2h	C6_4h	C6_6h	C6_8h	NRK_1h	NRK_2h	PC_12_0.5h	PC_12_1.5h	PC_12_12h	PC_12_1h	PC_12_2.5h	PC_12_2h	PC_12_4h	PC_12_6h	PC_12_8h	PK_15_12h	PK_15_1h	PK_15_2h	PK_15_4h	PK_15_6h	PK_15_8h
UL17	L	cluster_6	0.00183667180316916	0	0	0.00199004975071811	0.00102564102696239	0.000960723367569069	0	0	0	0	0.000768327820144121	0	0	0	0.000903138408040358	0.00118728061105423	0.000935247841816176	0.000580195976595788	0	0	0.000434184819118479	0.00078344054194395	0.00098078932289228
UL16	L	cluster_7	0	0	0	0	0	5.65131391657985e-05	0	0	0	0	0	0	0	0	0.000225784602572406	0	0.000330087474291039	0	0	0	0.00028945654845581	6.87228530614754e-05	0
UL14	L	cluster_3	0	0.0114285714283701	0	0	0.00376068376288604	0.00220401243271763	0	0	0	0	0.000608259523433916	0	0	0.00665778961356382	0	0.00154862688448906	0.000770204103809898	0.000257864879426075	0	0.00142755174946011	0.00173673927290868	0.00138820165911081	0.00104475384335162
UL13	L		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.50145793354259e-05	0	0	0	0	0	0
UL12	L	cluster_7	0	0	0	0	0	0.000113026278331597	0	0	0	0	0	0	0	0	0	0	0.000110029158670852	0	0	0	7.23641371139525e-05	0	2.13215062796371e-05
UL11	L		0	0.00285714285662896	0	0	0	0	0	0	0	0.00429184549436151	0	0.00502512562776655	0	0.00133155792351117	0	0	0	0	0	0	0	0	0
UL10	L	cluster_7	0	0.00285714285662896	0	0	0.000341880342981482	5.65131391657985e-05	0	0	0	0	0	0	0	0.00133155792351117	0.000225784602572406	5.16208953748677e-05	0.000110029156949336	0	0	0	7.23641371139525e-05	0	0
UL9	L	cluster_6	0.000160246532322525	0	0	0	0.000341880342981482	0.000169539417497396	0	0	0	0	0	0	0	0	0	5.16208953748677e-05	0.000110029158670852	1.61165554923498e-05	0	0	0	2.74891412245902e-05	2.84286766599435e-05
UL8	E		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.50145793354259e-05	0	0	0	0	0	0
UL7	E	cluster_9	0.00411710323566422	0.00857142857174115	0.00522193211489351	0.00796019900476599	0.00495726495737507	0.00384289347202677	0	0.00578034682127385	0	0	0.00269981858877381	0	0.0042432814708664	0.00532623169204866	0.00745089184890114	0.00454263886078053	0.00341090389125215	0.00135056730180352	0	0.00142755174946011	0.00441421231760303	0.00169058221939856	0.00243775896403945
UL6	L	cluster_6	0.00152850539146705	0	0	0.000995024876305823	0.000683760683980912	0.00118677592598276	0	0	0	0	0.000277451712525825	0.00502512562776655	0	0.00133155792351117	0	0.000567829856871222	0.000495131208854285	0.000267534811594615	0	0	0.000434184819118479	0.000357358842736924	0.000611216534415152
UL5	E	cluster_4	8.62865952765929e-05	0.0057142857151122	0	0.000995024876305823	0.000854700853489601	0	0	0	0	0	5.33560983822654e-05	0	0.00141442715695547	0.00133155792351117	0.000225784602572406	0.000309725376123045	0.000165043736284762	4.51263548151446e-05	0.0217391304342977	0	7.23641371139525e-05	0.000109956566602674	0.000220322238037959
UL4	L	cluster_9	0.00332819722699453	0	0.0130548302872338	0	0.00358974358941325	0.00457756428293265	0	0.00578034682127385	0	0	0.00203820296852104	0	0.00707213578477733	0.00133155792351117	0	0.00299401197629147	0.00275072894267007	0.00147305311960134	0	0.00142755174946011	0.00369057095359398	0.00240529990657672	0.00185497110952509
UL3.5	L	cluster_7	0.000197226501726779	0	0	0	0.00034188034099943	0.000282565695828993	0	0	0	0	8.5369757098943e-05	0	0.00141442715695547	0	0	0	0.000110029156949336	0	0	0	0.000434184820901097	0.000123701137214969	8.52860283594031e-05
UL3	L	cluster_7	0	0	0	0	0	0	0	0	0	0	4.26848793311757e-05	0	0	0	0	5.16208953748677e-05	0	2.90097993227948e-05	0	0	0.000144728274227905	0	0
UL2	E	cluster_3	0.00384591679689151	0.00857142857174115	0	0.00497512437774205	0.00410256410388547	0.00389940661119257	0	0	0	0	0.000426848788621532	0.00502512562776655	0.00282885431391093	0.00266311584502633	0.0013547076109359	0.00149700598911419	0.000990262421151602	0.000109592572558783	0	0.00142755174946011	0.00173673927290868	0.000934630820383509	0.000867074617872934
UL1	L	cluster_4	0.00480739599435181	0	0.00783289817234027	0.00497512437963558	0.00547008546986524	0.00401243288952417	0	0.00578034682127385	0	0	0.00463130936053031	0.00502512562776655	0.00565770862782187	0.00665778961356382	0.00903138405791092	0.00913689861499901	0.00484128294020109	0.00193720990313171	0.0217391304342977	0.00285510349694877	0.00412475577271246	0.00380724613629982	0.00484708925952109
