gene	Kinetic_class	hpi	Time	cell_line	group	mean	sd	varcoeff	cluster
UL49.5	L	4h	4	PC_12	PC_12_4h	12346.91829			cluster_6
UL49.5	L	6h	6	PC_12	PC_12_6h	13805.234263			cluster_6
UL49.5	L	8h	8	PC_12	PC_12_8h	12303.464144			cluster_6
UL49.5	L	12h	12	PK_15	PK_15_12h	12171.624714			cluster_6
UL49.5	L	1h	1	PK_15	PK_15_1h	8771.929824			cluster_6
UL49.5	L	2h	2	PK_15	PK_15_2h	25343.953656			cluster_6
UL49.5	L	4h	4	PK_15	PK_15_4h	23625.882926			cluster_6
UL49.5	L	6h	6	PK_15	PK_15_6h	10435.568028			cluster_6
UL49.5	L	8h	8	PK_15	PK_15_8h	0			cluster_6
UL49	L	12h	12	C6	C6_12h	6189.287286			cluster_7
UL49	L	1h	1	C6	C6_1h	3081.664098			cluster_7
UL49	L	2h	2	C6	C6_2h	4956.629492			cluster_7
UL49	L	4h	4	C6	C6_4h	3678.402522			cluster_7
UL49	L	6h	6	C6	C6_6h	3880.983182			cluster_7
UL49	L	8h	8	C6	C6_8h	4422.92171			cluster_7
UL49	L	12h	12	NRK	NRK_12h	6372.281026			cluster_7
UL49	L	1h	1	NRK	NRK_1h	0			cluster_7
UL49	L	2h	2	NRK	NRK_2h	9708.737864			cluster_7
UL49	L	4h	4	NRK	NRK_4h	5281.69014			cluster_7
UL49	L	6h	6	NRK	NRK_6h	3901.520249			cluster_7
UL49	L	8h	8	NRK	NRK_8h	5799.705929			cluster_7
UL49	L	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_7
UL49	L	1.5h	1.5	PC_12	PC_12_1.5h	0			cluster_7
UL49	L	12h	12	PC_12	PC_12_12h	5399.05943			cluster_7
UL49	L	1h	1	PC_12	PC_12_1h	0			cluster_7
UL49	L	2.5h	2.5	PC_12	PC_12_2.5h	8882.3094			cluster_7
UL49	L	2h	2	PC_12	PC_12_2h	4669.779854			cluster_7
UL49	L	4h	4	PC_12	PC_12_4h	3412.969286			cluster_7
UL49	L	6h	6	PC_12	PC_12_6h	3997.65471			cluster_7
UL49	L	8h	8	PC_12	PC_12_8h	5688.354851			cluster_7
UL49	L	12h	12	PK_15	PK_15_12h	7210.526316			cluster_7
UL49	L	1h	1	PK_15	PK_15_1h	0			cluster_7
UL49	L	2h	2	PK_15	PK_15_2h	3620.564808			cluster_7
UL49	L	4h	4	PK_15	PK_15_4h	6170.333686			cluster_7
UL49	L	6h	6	PK_15	PK_15_6h	4782.296629			cluster_7
UL49	L	8h	8	PK_15	PK_15_8h	6412.308826			cluster_7
UL48	L	12h	12	C6	C6_12h	1566.554071			cluster_1
UL48	L	1h	1	C6	C6_1h	1540.832049			cluster_1
UL48	L	2h	2	C6	C6_2h	0			cluster_1
UL48	L	4h	4	C6	C6_4h	525.486075			cluster_1
UL48	L	6h	6	C6	C6_6h	776.196637			cluster_1
UL48	L	8h	8	C6	C6_8h	548.829701			cluster_1
UL48	L	12h	12	NRK	NRK_12h	179.248411			cluster_1
UL48	L	1h	1	NRK	NRK_1h	0			cluster_1
UL48	L	2h	2	NRK	NRK_2h	0			cluster_1
UL48	L	4h	4	NRK	NRK_4h	586.85446			cluster_1
UL48	L	6h	6	NRK	NRK_6h	403.605543			cluster_1
UL48	L	8h	8	NRK	NRK_8h	163.371998			cluster_1
UL48	L	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_1
UL48	L	1.5h	1.5	PC_12	PC_12_1.5h	0			cluster_1
UL48	L	12h	12	PC_12	PC_12_12h	812.247879			cluster_1
UL48	L	1h	1	PC_12	PC_12_1h	0			cluster_1
UL48	L	2.5h	2.5	PC_12	PC_12_2.5h	0			cluster_1
UL48	L	2h	2	PC_12	PC_12_2h	0			cluster_1
UL48	L	4h	4	PC_12	PC_12_4h	200.762899			cluster_1
UL48	L	6h	6	PC_12	PC_12_6h	319.812376			cluster_1
UL48	L	8h	8	PC_12	PC_12_8h	830.883293			cluster_1
UL48	L	12h	12	PK_15	PK_15_12h	1290.617849			cluster_1
UL48	L	1h	1	PK_15	PK_15_1h	0			cluster_1
UL48	L	2h	2	PK_15	PK_15_2h	362.056481			cluster_1
UL48	L	4h	4	PK_15	PK_15_4h	162.377203			cluster_1
UL48	L	6h	6	PK_15	PK_15_6h	572.585262			cluster_1
UL48	L	8h	8	PK_15	PK_15_8h	1359.655086			cluster_1
UL47	L	12h	12	C6	C6_12h	825.238305			cluster_1
