gene	Kinetic_class	cluster	C6_12h	C6_1h	C6_2h	C6_4h	C6_6h	C6_8h	NRK_12h	NRK_1h	NRK_2h	NRK_4h	NRK_6h	NRK_8h	PC_12_0.5h	PC_12_1.5h	PC_12_12h	PC_12_1h	PC_12_2.5h	PC_12_2h	PC_12_4h	PC_12_6h	PC_12_8h	PK_15_12h	PK_15_1h	PK_15_2h	PK_15_4h	PK_15_6h	PK_15_8h
UL12	L	cluster_11	0	0	0	0	0	64.5682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.9141	0	0	0	40.594301	0	13.157952
UL11	L		0	1540.832049	0	0	0	0	0	0	0	0	0	0	0	2212.389381	0	2227.171492	0	667.111408	0	0	0	0	0	0	0	0	0
UL10	L	cluster_11	0	1540.832049	0	0	172.488142	32.2841	80.661785	0	0	0	0	81.685999	0	0	0	0	0	667.111408	100.38145	26.651031	63.914099	0	0	0	40.594301	0	0
UL9	L	cluster_1	90.916084	0	0	0	172.488142	96.8523	17.924841	0	0	0	0	0	0	0	0	0	0	0	0	26.651031	63.9141	11.441648	0	0	0	16.129162	17.543937
UL8	E		0	0	0	0	0	0	0	0	0	0	134.535181	0	0	0	0	0	0	0	0	0	31.95705	0	0	0	0	0	0
UL7	E	cluster_7	2335.844016	4622.496148	2478.314746	4203.888597	2501.078051	2195.318805	3047.222994	0	3236.245955	3521.12676	1748.957353	5881.391929	0	0	1726.879944	0	2220.57735	2668.445631	3312.587834	2345.290763	1981.337084	958.810068	0	724.112962	2476.252335	991.943483	1504.392561
UL6	L	cluster_1	867.199574	0	0	525.486075	344.976283	677.966102	170.285991	0	0	0	269.070362	571.801993	0	0	177.465923	2227.171492	0	667.111408	0	293.161345	287.613447	189.93135	0	0	243.565804	209.67911	377.194637
UL5	E	cluster_4	48.954815	3081.664099	0	525.486075	431.220353	0	107.549047	0	0	0	134.535181	163.371998	0	0	34.128062	0	740.19245	667.111408	100.38145	159.906188	95.871149	32.036614	2923.976608	0	40.594301	64.516649	135.965508
UL4	L	cluster_7	1888.257139	0	6195.786865	0	1811.125485	2615.012106	3020.335732	0	3236.245955	0	3228.844343	3430.811958	0	0	1303.691975	0	3700.96225	667.111408	0	1545.759821	1597.852486	1045.76659	0	724.112962	2070.309329	1411.301704	1144.741863
UL3.5	L	cluster_11	111.896719	0	0	0	172.488141	161.4205	0	0	0	586.85446	134.535181	408.429995	0	0	54.604899	0	740.19245	0	0	0	63.914099	0	0	0	243.565805	72.58123	52.63181
UL3	L	cluster_11	0	0	0	0	0	0	17.924841	0	0	0	0	0	0	0	27.30245	0	0	0	0	26.651031	0	20.594966	0	0	81.188602	0	0
UL2	E	cluster_3	2181.986028	4622.496148	0	2627.430373	2069.857698	2227.602905	367.459244	0	0	2347.41784	538.140724	1878.777977	0	0	273.024497	2227.171492	1480.3849	1334.222815	602.288698	772.879911	575.226896	77.803203	0	724.112962	974.263214	548.391519	535.090066
UL1	L	cluster_5	2727.482534	0	3717.472119	2627.430374	2759.810263	2292.171105	699.068805	0	3236.245955	2934.2723	1210.816629	2042.149975	0	0	2962.315795	2227.171492	2960.7698	3335.557038	4015.25798	4717.232556	2812.220376	1375.286042	2923.976608	1448.225923	2313.875133	2233.888982	2991.24119
EP0	E	cluster_12	2902.321159	0	16109.045849	0	86.244071	96.8523	3862.803265	0	0	0	7533.970134	10455.807874	0	0	996.539416	0	0	17344.896599	3212.206384	3171.472736	2652.435126	574.37071	17543.859649	0	12300.07307	4298.421759	3298.260079
ELIE	E		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.651031	0	0	0	0	0	0	0
IE180	IE	cluster_12	1391.715448	0	1239.157373	0	689.952566	419.693301	600.482178	0	3236.245955	5281.690141	2959.773981	898.545989	0	0	518.746544	2227.171492	740.19245	2001.334224	702.670147	533.020628	735.012146	121.281465	2923.976608	0	3491.10985	1806.466181	1179.829737
NOIR	E	cluster_3	755.302857	0	0	1050.97215	1034.928849	1355.932203	1505.686655	0	0	2934.2723	2825.238801	1143.603986	0	0	1208.133401	2227.171492	2220.57735	0	501.907249	799.530941	1661.766587	1009.153318	0	1810.282404	2354.469434	2467.761836	2535.098837
