dcDNA_TC_ID	seqnames	strand	transcript_id	exon_number	start.TR	end.TR	start.exon	end.exon	start	end	prime5.TR	prime5.ex	prime3.TR	prime3.ex	last_exon	source	TC.start	TC.end	support	score	consensus_peak	dcDNA_TC_significance
TC_1111	LT934125.1	+	US9-US2-L4	1	123314	126151	123314	126151	123314	126151	123314	123314	126151	126151	TRUE	NAGATA	123272	123321	6	837.157508	123300	**
TC_1115	LT934125.1	+	US9-L6	1	123560	125230	123560	125230	123560	125230	123560	123560	125230	125230	TRUE	NAGATA	123499	123570	6	1316.269613	123527	***
TC_1116	LT934125.1	+	US9-US2-L3	1	123587	126151	123587	126151	123587	126151	123587	123587	126151	126151	TRUE	NAGATA	123577	123651	12	1912.354815	123606	***
TC_1118	LT934125.1	+	US9-L5	1	123780	125230	123780	125230	123780	125230	123780	123780	125230	125230	TRUE	NAGATA	123745	123798	10	737.796666	123768	**
TC_1119	LT934125.1	+	US9-US2-L2	1	123824	126151	123824	126151	123824	126151	123824	123824	126151	126151	TRUE	NAGATA	123807	123843	8	1157.000656	123822	***
TC_1120	LT934125.1	+	US9-L4	1	123878	125230	123878	125230	123878	125230	123878	123878	125230	125230	TRUE	NAGATA	123860	123888	3	447.462885	123873	**
TC_1125	LT934125.1	+	US9-L2	1	124286	125230	124286	125230	124286	125230	124286	124286	125230	125230	TRUE	NAGATA	124123	124416	22	20836.874859	124304	***
TC_1125	LT934125.1	+	US9-L3	1	124180	125230	124180	125230	124180	125230	124180	124180	125230	125230	TRUE	NAGATA	124123	124416	22	20836.874859	124304	***
TC_1125	LT934125.1	+	US9-US2-L	1	124402	126151	124402	126151	124402	126151	124402	124402	126151	126151	TRUE	NAGATA	124123	124416	22	20836.874859	124304	***
TC_1127	LT934125.1	+	US9-L1	1	124677	125230	124677	125230	124677	125230	124677	124677	125230	125230	TRUE	NAGATA	124662	124726	11	1069.98016	124683	***
TC_1128	LT934125.1	+	US9	1	124756	125230	124756	125230	124756	125230	124756	124756	125230	125230	TRUE	NAGATA	124726	124780	25	180222.287437	124756	***
TC_1128	LT934125.1	+	US9-2	1	124756	126151	124756	126151	124756	126151	124756	124756	126151	126151	TRUE	NAGATA	124726	124780	25	180222.287437	124756	***
TC_1131	LT934125.1	+	US9.3	1	124872	125230	124872	125230	124872	125230	124872	124872	125230	125230	TRUE	NAGATA	124843	124924	10	3618.232189	124879	***
TC_1133	LT934125.1	+	US2-L	1	125105	126151	125105	126151	125105	126151	125105	125105	126151	126151	TRUE	NAGATA	125064	125115	11	4408.361714	125102	***
TC_1136	LT934125.1	+	US2	1	125225	126151	125225	126151	125225	126151	125225	125225	126151	126151	TRUE	NAGATA	125167	125246	27	926133.987245	125225	***
TC_1136	LT934125.1	+	US2-AT	1	125225	126191	125225	126191	125225	126191	125225	125225	126191	126191	TRUE	NAGATA	125167	125246	27	926133.987245	125225	***
TC_1139	LT934125.1	+	US2.3	1	125373	126151	125373	126151	125373	126151	125373	125373	126151	126151	TRUE	NAGATA	125355	125392	10	2015.551581	125373	***
TC_1141	LT934125.1	+	US2.3-S	1	125430	126151	125430	126151	125430	126151	125430	125430	126151	126151	TRUE	NAGATA	125413	125456	6	936.433575	125434	**
