seqnames	strand	gene_cluster	gene	Kinetic_class	C6_0.5h_1	C6_0.5h_2	C6_12h_1	C6_12h_2	C6_12h_3	C6_1h_1	C6_1h_2	C6_1h_3	C6_2h_1	C6_2h_2	C6_2h_3	C6_4h_1	C6_4h_2	C6_4h_3	C6_6h_1	C6_6h_2	C6_6h_3	C6_8h_1	C6_8h_2	C6_8h_3	C6_dRNA	NRK_1h_1	NRK_1h_2	NRK_1h_3	NRK_2h_1	NRK_2h_2	NRK_2h_3	PC-12_0.5h_1	PC-12_0.5h_2	PC-12_0.5h_3	PC-12_1.5h_1	PC-12_1.5h_2	PC-12_1.5h_3	PC-12_12h_1	PC-12_12h_2	PC-12_12h_3	PC-12_1h_1	PC-12_1h_2	PC-12_1h_3	PC-12_2.5h_1	PC-12_2.5h_2	PC-12_2.5h_3	PC-12_2h_1	PC-12_2h_2	PC-12_2h_3	PC-12_4h_1	PC-12_4h_2	PC-12_4h_3	PC-12_6h_1	PC-12_6h_2	PC-12_6h_3	PC-12_8h_1	PC-12_8h_2	PC-12_8h_3	PC-12_dRNA	PK-15_12h_1	PK-15_12h_2	PK-15_12h_3	PK-15_1h_1	PK-15_1h_2	PK-15_1h_3	PK-15_2h_1	PK-15_2h_2	PK-15_2h_3	PK-15_4h_1	PK-15_4h_2	PK-15_4h_3	PK-15_6h_1	PK-15_6h_2	PK-15_6h_3	PK-15_8h_1	PK-15_8h_2	PK-15_8h_3	PK-15_dRNA
LT934125.1	+	UL20-19-18	UL19	L	0	0	22	25	17	0	0	0	2	0	0	0	0	0	2	3	5	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	2	7	40	34	5	0	0	0	0	0	0	0	1	0	0	0	6	33	15	4	6
LT934125.1	+	UL20-19-18	UL20	L	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	1
LT934125.1	+	UL23-22			0	0	1486	1387	881	3	4	3	8	16	0	14	11	8	34	55	34	220	243	206	79	0	0	0	2	2	3	0	0	0	1	1	4	1325	1500	1193	4	5	7	6	2	7	10	14	12	61	61	85	205	261	248	425	595	37	285	850	1055	958	0	0	1	19	10	28	93	78	114	396	429	302	848	832	765	741
LT934125.1	+	UL23-22	UL22	L	0	0	69	67	44	0	0	0	1	1	0	3	0	0	8	7	14	10	5	9	5	0	0	0	0	1	1	0	0	0	0	0	0	43	55	34	0	0	0	0	0	2	2	1	0	8	2	5	3	10	12	12	43	2	32	129	174	55	0	0	0	2	0	3	4	3	2	24	14	66	163	105	64	114
LT934125.1	+	UL23-22	UL23	L	0	0	18	24	17	0	0	0	1	0	0	3	0	0	3	2	3	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	1	0	0	0	0	0	1	0	0	0	1	3	3	2	0	4	0	0	3	2	0	0	0	0	0	0	0	1	0	0	1	2	6	5	3	2	1
LT934125.1	+	UL30			0	0	69	54	73	2	2	1	2	2	0	1	2	0	5	2	6	22	21	26	9	0	0	0	1	0	3	0	0	0	0	0	0	76	79	49	3	0	5	0	0	3	6	4	1	2	3	5	18	37	22	38	73	10	22	23	42	14	1	1	0	13	8	27	12	14	11	23	26	51	75	74	55	51
LT934125.1	+	UL30	UL30	E	0	0	0	1	3	2	0	1	0	0	0	0	1	0	0	2	4	3	2	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	2	0	2	2	1	0	1	0	1	0	5	0	0	4	2	0	0	0	0	3	2	0	2	0	0	1	0	5	18	13	5	1
LT934125.1	+	UL33-34-35			0	0	7002	6694	3903	11	7	5	16	19	0	26	18	13	91	167	120	823	935	803	582	3	1	4	3	5	4	0	0	0	5	1	7	4711	6045	4795	8	2	5	10	5	13	25	23	32	192	181	222	572	964	769	1479	1592	152	1579	4888	6057	7047	7	5	3	28	29	146	339	386	384	1748	1451	1242	3121	3212	3362	7179
LT934125.1	+	UL33-34-35	UL33	E	0	0	43	48	25	0	1	0	1	0	0	1	1	0	4	10	5	6	11	9	4	0	0	0	0	0	0	0	0	0	0	0	0	19	19	5	0	0	0	0	0	0	0	0	0	1	1	2	1	3	5	5	16	0	14	47	56	12	0	0	0	0	0	2	0	1	0	6	5	17	17	21	15	24
LT934125.1	+	UL33-34-35	UL34	E	0	0	1149	988	667	8	4	4	7	4	0	23	18	11	55	97	78	151	179	105	19	0	4	1	3	3	7	0	0	0	3	2	3	493	642	328	4	3	3	6	2	10	11	6	25	38	47	37	107	227	157	102	404	13	63	1623	2572	701	1	1	1	15	17	30	92	101	116	304	258	397	1002	1076	777	294
