seqnames	strand	TSS	TES	NOV_TX_ID	C6_dRNA	C6_dcDNA_12h	C6_dcDNA_1h	C6_dcDNA_2h	C6_dcDNA_4h	C6_dcDNA_6h	C6_dcDNA_8h	NRK_dcDNA_12h	NRK_dcDNA_1h	NRK_dcDNA_2h	NRK_dcDNA_4h	NRK_dcDNA_6h	NRK_dcDNA_8h	PC_12_dRNA	PC_12_dcDNA_0.5h	PC_12_dcDNA_1.5h	PC_12_dcDNA_12h	PC_12_dcDNA_1h	PC_12_dcDNA_2.5h	PC_12_dcDNA_2h	PC_12_dcDNA_4h	PC_12_dcDNA_6h	PC_12_dcDNA_8h	PK_15_dRNA	PK_15_dcDNA_12h	PK_15_dcDNA_1h	PK_15_dcDNA_2h	PK_15_dcDNA_4h	PK_15_dcDNA_6h	PK_15_dcDNA_8h
LT934125.1	+	15846	16224	NOV_TX_373	7	877	0	3	2	0	110	364	2	3	8	0	61	31	0	0	1310	0	1	0	24	0	191	147	2122	0	17	65	314	703
LT934125.1	+	29468	32415	NOV_TX_438	0	8	0	0	0	3	2	7	0	0	0	0	8	1	0	0	4	0	0	0	0	0	4	0	11	0	0	0	2	6
LT934125.1	+	30240	32415	NOV_TX_441	1	81	1	1	2	15	24	59	0	0	0	2	14	1	0	0	37	0	0	0	3	6	18	4	88	0	2	1	24	39
LT934125.1	+	30298	32415	NOV_TX_443	0	15	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	2	0	2	1	11	0	0	0	0	1
LT934125.1	+	30484	32415	NOV_TX_447	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
LT934125.1	+	30840	32415	NOV_TX_455	0	8	0	0	0	1	2	1	0	0	0	0	0	0	0	0	4	0	0	0	0	2	2	0	3	0	0	0	1	1
LT934125.1	+	31042	32415	NOV_TX_460	0	3	0	0	0	0	0	10	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	10	0	0	0	1	8
LT934125.1	+	31230	32415	NOV_TX_466	2	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	26	0	0	0	2	0	0	11	55	0	0	15	0	0
LT934125.1	+	31271	32415	NOV_TX_468	2	288	0	1	1	11	0	0	0	0	3	10	51	6	0	1	60	0	0	3	2	0	0	23	70	0	0	10	66	0
LT934125.1	+	31330	32415	NOV_TX_470	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	96	0	1	4	0	0	0	0	0
LT934125.1	+	31373	32415	NOV_TX_472	0	815	1	1	0	18	0	0	0	0	3	10	0	3	0	0	0	0	3	0	22	0	104	16	0	0	2	0	0	0
LT934125.1	+	31454	32415	NOV_TX_474	3	90	0	0	1	0	0	0	0	0	0	1	0	7	0	0	54	0	0	0	9	0	0	21	64	0	0	4	103	0
LT934125.1	+	31474	32415	NOV_TX_475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	246	0	0	0	0	0
LT934125.1	+	31492	32415	NOV_TX_476	2	0	2	4	0	0	65	0	0	1	5	3	47	8	0	0	0	0	0	0	0	0	0	41	0	1	4	0	0	0
LT934125.1	+	31525	32415	NOV_TX_478	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	276	0	0	3	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	31558	32415	NOV_TX_480	0	0	0	0	0	11	0	0	0	0	0	0	0	2	0	0	42	0	0	1	0	0	0	10	56	0	2	0	75	0
LT934125.1	+	31636	32415	NOV_TX_483	3	0	0	0	0	0	0	0	0	1	0	2	36	10	0	0	0	0	1	1	1	0	0	24	0	0	3	0	0	0
