seqnames	strand	start	end	TSS	TES	NOV_TX_ID	C6_dcDNA_12h	C6_dcDNA_1h	C6_dcDNA_2h	C6_dcDNA_4h	C6_dcDNA_6h	C6_dcDNA_8h	NRK_dcDNA_12h	NRK_dcDNA_1h	NRK_dcDNA_2h	NRK_dcDNA_4h	NRK_dcDNA_6h	NRK_dcDNA_8h	PC-12_dcDNA_1.5h	PC-12_dcDNA_12h	PC-12_dcDNA_1h	PC-12_dcDNA_2.5h	PC-12_dcDNA_2h	PC-12_dcDNA_4h	PC-12_dcDNA_6h	PC-12_dcDNA_8h	PK-15_dcDNA_12h	PK-15_dcDNA_1h	PK-15_dcDNA_2h	PK-15_dcDNA_4h	PK-15_dcDNA_6h	PK-15_dcDNA_8h
LT934125.1	+	30676	32415	30676	32415	NOV_TX_119	19	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	30932	32415	30932	32415	NOV_TX_121	20	0	0	0	0	0	31	0	0	0	0	8	0	18	0	0	0	0	9	7	42	0	0	0	6	14
LT934125.1	+	31042	32415	31042	32415	NOV_TX_123	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
LT934125.1	+	31098	31198	31098	31198	NOV_TX_124	84	0	0	0	0	7	7	0	0	0	0	0	0	23	0	0	0	0	7	5	55	0	0	10	17	33
LT934125.1	+	31149	32415	31149	32415	NOV_TX_126	273	0	0	0	7	33	141	0	0	0	10	21	0	87	0	0	0	11	32	36	150	0	0	13	49	146
LT934125.1	+	31245	32415	31245	32415	NOV_TX_127	73	0	0	0	0	15	42	0	0	0	0	20	0	0	0	0	0	0	12	17	0	0	0	0	16	42
LT934125.1	+	31349	32415	31349	32415	NOV_TX_128	639	0	0	0	6	135	85	0	0	0	0	18	0	494	0	0	0	0	0	67	0	0	0	6	58	105
LT934125.1	+	31410	32415	31410	32415	NOV_TX_129	0	0	0	0	0	0	198	0	0	0	0	0	0	383	0	0	0	0	0	94	0	0	0	48	0	259
LT934125.1	+	31496	32415	31496	32415	NOV_TX_130	109	0	0	0	6	30	48	0	0	0	0	26	0	38	0	0	0	0	10	22	42	0	0	14	28	49
LT934125.1	+	31630	32415	31630	32415	NOV_TX_131	42	0	0	0	0	6	38	0	0	0	0	10	0	41	0	0	0	0	16	14	62	0	0	0	12	44
LT934125.1	+	31724	32415	31724	32415	NOV_TX_132	0	0	0	0	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	8	0	0
LT934125.1	+	31833	32415	31833	32415	NOV_TX_133	70	0	0	0	0	17	57	0	0	0	7	19	0	78	0	0	0	0	12	13	208	0	0	0	31	90
LT934125.1	+	31945	32415	31945	32415	NOV_TX_134	119	0	0	0	0	12	69	0	0	0	20	9	0	142	0	0	0	0	0	19	202	0	0	11	47	101
LT934125.1	+	32092	32415	32092	32415	NOV_TX_137	385	0	0	0	0	0	0	0	0	0	16	19	0	524	0	0	0	19	75	109	617	0	0	14	141	294
LT934125.1	+	32163	32415	32163	32415	NOV_TX_138	674	0	0	0	19	66	191	0	0	0	0	27	0	1057	0	0	0	19	119	159	1051	0	5	16	188	434
LT934125.1	+	32274	32415	32274	32415	NOV_TX_139	715	0	0	0	12	107	33	0	0	0	0	10	0	569	0	0	0	0	74	137	924	0	12	43	203	476
LT934125.1	+	44946	46038	44946	46038	NOV_TX_146	21	0	0	0	0	6	8	0	0	0	0	0	0	37	0	0	0	0	6	5	72	0	0	6	18	45
LT934125.1	+	45050	46038	45050	46038	NOV_TX_148	0	0	0	0	0	6	8	0	0	0	0	0	0	0	0	0	0	0	11	6	54	0	0	0	0	0
LT934125.1	+	45128	46038	45128	46038	NOV_TX_149	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	6	9	0	0	0	0	5	0
LT934125.1	+	45302	46038	45302	46038	NOV_TX_150	17	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	26	28
LT934125.1	+	45415	46038	45415	46038	NOV_TX_152	0	0	0	0	0	17	30	0	0	0	0	7	0	42	0	0	0	0	8	6	121	0	0	5	46	40
LT934125.1	+	45497	46038	45497	46038	NOV_TX_154	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	33	0	0	0	9	19
LT934125.1	+	45608	46038	45608	46038	NOV_TX_155	9	0	0	0	0	6	18	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	13	41
LT934125.1	+	45738	46038	45738	46038	NOV_TX_158	131	0	0	0	0	9	28	0	0	0	0	0	0	0	0	0	0	0	6	17	111	0	0	6	32	191
LT934125.1	+	45875	46038	45875	46038	NOV_TX_160	0	0	0	0	0	29	11	0	0	0	0	0	0	0	0	0	0	0	42	19	253	0	0	18	130	139
LT934125.1	+	46026	49647	46026	49647	NOV_TX_162	98	0	0	9	25	18	144	0	0	0	5	28	0	33	0	0	0	0	6	29	368	0	0	0	16	120
LT934125.1	+	46167	49647	46167	49647	NOV_TX_163	18	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	46489	49647	46489	49647	NOV_TX_166	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	8	25	0	0	0	0	12
LT934125.1	+	46717	49647	46717	49647	NOV_TX_167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	7
LT934125.1	+	46773	49647	46773	49647	NOV_TX_168	10	0	0	0	0	0	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	9
LT934125.1	+	47013	49647	47013	49647	NOV_TX_170	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
LT934125.1	+	47315	49647	47315	49647	NOV_TX_173	58	0	0	0	0	13	58	0	0	0	0	16	0	30	0	0	0	6	25	17	57	0	0	0	13	49
LT934125.1	+	47393	49647	47393	49647	NOV_TX_174	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	6
LT934125.1	+	47486	49647	47486	49647	NOV_TX_175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	19	0	0	0	0	8
LT934125.1	+	47567	49647	47567	49647	NOV_TX_176	14	0	0	0	0	6	30	0	0	0	0	7	0	0	0	0	0	0	0	0	20	0	0	0	0	16
LT934125.1	+	47628	49647	47628	49647	NOV_TX_177	0	0	0	0	0	6	14	0	0	0	0	0	0	12	0	0	0	0	0	9	0	0	0	0	0	0
LT934125.1	+	47722	49647	47722	49647	NOV_TX_178	23	0	0	0	0	0	21	0	0	0	0	7	0	17	0	0	0	0	5	9	23	0	0	0	6	10
