seqnames,strand,transcript_id,start,end,prime5,prime3,exon_number,exon_count,start.transcript,end.transcript
LT934125.1,+,10195,76623,76786,76623,76786,1,1,76623,76786
LT934125.1,+,10196,122102,122916,122102,122916,1,1,122102,122916
LT934125.1,+,10197,48460,49647,48460,49647,1,1,48460,49647
LT934125.1,+,10198,32286,32413,32286,32413,1,1,32286,32413
LT934125.1,+,1020,51247,52417,51247,52417,1,1,51247,52417
LT934125.1,+,10200,15641,16224,15641,16224,1,1,15641,16224
LT934125.1,+,10201,9465,10426,9465,10426,1,1,9465,10426
LT934125.1,+,10202,69500,70521,69500,70521,1,1,69500,70521
LT934125.1,+,10203,69311,70506,69311,70506,1,1,69311,70506
LT934125.1,+,10204,122022,122912,122022,122912,1,1,122022,122912
LT934125.1,+,10205,120569,122912,120569,122912,1,1,120569,122912
LT934125.1,+,10207,70215,70508,70215,70508,1,1,70215,70508
LT934125.1,+,10208,54714,55161,54714,55161,1,1,54714,55161
LT934125.1,+,1021,118878,120471,118878,120471,1,1,118878,120471
LT934125.1,+,10210,79455,79989,79455,79989,1,1,79455,79989
LT934125.1,+,10211,125235,126148,125235,126148,1,1,125235,126148
LT934125.1,+,10216,70186,70521,70186,70521,1,1,70186,70521
LT934125.1,+,10218,54723,55161,54723,55161,1,1,54723,55161
LT934125.1,+,1022,70072,70456,70072,70456,1,1,70072,70456
LT934125.1,+,10222,124804,125230,124804,125230,1,1,124804,125230
LT934125.1,+,10223,68660,70521,68660,70521,1,1,68660,70521
LT934125.1,+,10224,44824,46025,44824,46025,1,1,44824,46025
LT934125.1,+,10225,46039,49647,46039,49647,1,1,46039,49647
LT934125.1,+,10227,74292,75652,74292,75652,1,1,74292,75652
LT934125.1,+,10228,55282,55773,55282,55773,1,1,55282,55773
LT934125.1,+,10229,15511,16210,15511,16210,1,1,15511,16210
LT934125.1,+,1023,32077,32415,32077,32415,1,1,32077,32415
LT934125.1,+,10230,10154,10426,10154,10426,1,1,10154,10426
LT934125.1,+,10232,69821,70521,69821,70521,1,1,69821,70521
LT934125.1,+,10235,70889,71531,70889,71531,1,1,70889,71531
LT934125.1,+,10236,79491,79996,79491,79996,1,1,79491,79996
LT934125.1,+,10237,31257,32384,31257,32384,1,1,31257,32384
LT934125.1,+,10238,79576,79996,79576,79996,1,1,79576,79996
LT934125.1,+,10240,48581,49631,48581,49631,1,1,48581,49631
LT934125.1,+,10241,70068,70521,70068,70521,1,1,70068,70521
LT934125.1,+,10243,124545,125230,124545,125230,1,1,124545,125230
LT934125.1,+,10247,122357,122907,122357,122907,1,1,122357,122907
LT934125.1,+,10249,66348,70515,66348,70515,1,1,66348,70515
LT934125.1,+,1025,15448,16224,15448,16224,1,1,15448,16224
LT934125.1,+,10252,45229,46026,45229,46026,1,1,45229,46026
LT934125.1,+,10253,69402,71530,69402,71530,1,1,69402,71530
LT934125.1,+,10254,9294,10426,9294,10426,1,1,9294,10426
LT934125.1,+,10255,73384,75651,73384,75651,1,1,73384,75651
LT934125.1,+,10256,118896,118902,118896,118902,1,2,118896,120477
LT934125.1,+,10256,119212,120477,119212,120477,2,2,118896,120477
LT934125.1,+,1026,91647,92059,91647,92059,1,1,91647,92059
LT934125.1,+,10260,52918,55161,52918,55161,1,1,52918,55161
LT934125.1,+,10262,60425,62338,60425,62338,1,1,60425,62338
LT934125.1,+,10263,31878,32415,31878,32415,1,1,31878,32415
LT934125.1,+,10266,74916,75651,74916,75651,1,1,74916,75651
LT934125.1,+,10267,120204,120472,120204,120472,1,1,120204,120472
LT934125.1,+,10269,75434,75651,75434,75651,1,1,75434,75651
LT934125.1,+,1027,124769,126151,124769,126151,1,1,124769,126151
LT934125.1,+,10271,69691,70521,69691,70521,1,1,69691,70521
LT934125.1,+,10273,120948,122915,120948,122915,1,1,120948,122915
LT934125.1,+,10277,61845,62340,61845,62340,1,1,61845,62340
LT934125.1,+,10279,70625,71542,70625,71542,1,1,70625,71542
LT934125.1,+,1028,1207,2273,1207,2273,1,1,1207,2273
LT934125.1,+,10280,118999,120464,118999,120464,1,1,118999,120464
LT934125.1,+,10282,48576,49647,48576,49647,1,1,48576,49647
LT934125.1,+,10284,69867,70436,69867,70436,1,1,69867,70436
LT934125.1,+,10287,32060,32408,32060,32408,1,1,32060,32408
LT934125.1,+,10288,15655,16224,15655,16224,1,1,15655,16224
LT934125.1,+,10289,7924,10431,7924,10431,1,1,7924,10431
LT934125.1,+,1029,79187,79996,79187,79996,1,1,79187,79996
LT934125.1,+,10291,68132,70515,68132,70515,1,1,68132,70515
LT934125.1,+,10292,32056,32414,32056,32414,1,1,32056,32414
LT934125.1,+,10293,53274,53594,53274,53594,1,1,53274,53594
LT934125.1,+,10294,15751,16093,15751,16093,1,1,15751,16093
LT934125.1,+,10295,9120,10418,9120,10418,1,1,9120,10418
LT934125.1,+,10297,9641,10426,9641,10426,1,1,9641,10426
LT934125.1,+,10298,79607,79996,79607,79996,1,1,79607,79996
LT934125.1,+,10299,126009,126151,126009,126151,1,1,126009,126151
LT934125.1,+,103,15128,16220,15128,16220,1,1,15128,16220
LT934125.1,+,10300,88896,92059,88896,92059,1,1,88896,92059
LT934125.1,+,10301,54100,55161,54100,55161,1,1,54100,55161
LT934125.1,+,10303,125236,126140,125236,126140,1,1,125236,126140
LT934125.1,+,10304,15608,16220,15608,16220,1,1,15608,16220
LT934125.1,+,10306,52486,53586,52486,53586,1,1,52486,53586
LT934125.1,+,10307,62096,62338,62096,62338,1,1,62096,62338
LT934125.1,+,10309,49483,49647,49483,49647,1,1,49483,49647
LT934125.1,+,1031,14174,16211,14174,16211,1,1,14174,16211
LT934125.1,+,10311,46016,49647,46016,49647,1,1,46016,49647
LT934125.1,+,10313,123789,125230,123789,125230,1,1,123789,125230
LT934125.1,+,10315,9163,10429,9163,10429,1,1,9163,10429
LT934125.1,+,10317,48432,49647,48432,49647,1,1,48432,49647
LT934125.1,+,10319,54221,55161,54221,55161,1,1,54221,55161
LT934125.1,+,1032,32073,32403,32073,32403,1,1,32073,32403
LT934125.1,+,10321,54107,55161,54107,55161,1,1,54107,55161
LT934125.1,+,10322,70547,71528,70547,71528,1,1,70547,71528
LT934125.1,+,10325,79603,79996,79603,79996,1,1,79603,79996
LT934125.1,+,10326,31112,32408,31112,32408,1,1,31112,32408
LT934125.1,+,10327,125181,126151,125181,126151,1,1,125181,126151
LT934125.1,+,10328,1002,2275,1002,2275,1,1,1002,2275
LT934125.1,+,10329,125240,126101,125240,126101,1,1,125240,126101
LT934125.1,+,1033,52471,53587,52471,53587,1,1,52471,53587
LT934125.1,+,10330,32045,32389,32045,32389,1,1,32045,32389
LT934125.1,+,10331,120759,122915,120759,122915,1,1,120759,122915
LT934125.1,+,10332,51250,53595,51250,53595,1,1,51250,53595
LT934125.1,+,10333,52625,53594,52625,53594,1,1,52625,53594
LT934125.1,+,10335,13532,16224,13532,16224,1,1,13532,16224
LT934125.1,+,10336,61554,62340,61554,62340,1,1,61554,62340
LT934125.1,+,10338,52417,53594,52417,53594,1,1,52417,53594
LT934125.1,+,10339,67676,70468,67676,70468,1,1,67676,70468
LT934125.1,+,10340,69553,71530,69553,71530,1,1,69553,71530
LT934125.1,+,10341,49256,49647,49256,49647,1,1,49256,49647
LT934125.1,+,10342,70032,71537,70032,71537,1,1,70032,71537
LT934125.1,+,10343,31932,32415,31932,32415,1,1,31932,32415
LT934125.1,+,10344,13343,16224,13343,16224,1,1,13343,16224
LT934125.1,+,10345,125244,126148,125244,126148,1,1,125244,126148
LT934125.1,+,10346,125213,126151,125213,126151,1,1,125213,126151
LT934125.1,+,10348,9669,10401,9669,10401,1,1,9669,10401
LT934125.1,+,10349,75078,75651,75078,75651,1,1,75078,75651
LT934125.1,+,1035,70545,71530,70545,71530,1,1,70545,71530
LT934125.1,+,10350,122734,122916,122734,122916,1,1,122734,122916
LT934125.1,+,10352,67354,70515,67354,70515,1,1,67354,70515
LT934125.1,+,10354,119227,120460,119227,120460,1,1,119227,120460
LT934125.1,+,10355,85011,86167,85011,86167,1,1,85011,86167
LT934125.1,+,10356,125494,126135,125494,126135,1,1,125494,126135
LT934125.1,+,10358,118933,120462,118933,120462,1,1,118933,120462
LT934125.1,+,10359,31106,32414,31106,32414,1,1,31106,32414
LT934125.1,+,10361,70540,71537,70540,71537,1,1,70540,71537
LT934125.1,+,10362,67668,70521,67668,70521,1,1,67668,70521
LT934125.1,+,10363,125252,125881,125252,125881,1,1,125252,125881
LT934125.1,+,10364,71285,71544,71285,71544,1,1,71285,71544
LT934125.1,+,10366,53026,53569,53026,53569,1,1,53026,53569
LT934125.1,+,10367,59355,60251,59355,60251,1,1,59355,60251
LT934125.1,+,10368,9856,10426,9856,10426,1,1,9856,10426
