gene	Kinetic_class	cluster	C6_dcDNA_12h	C6_dcDNA_1h	C6_dcDNA_2h	C6_dcDNA_4h	C6_dcDNA_6h	C6_dcDNA_8h	NRK_dcDNA_1h	NRK_dcDNA_2h	PC-12_dcDNA_0.5h	PC-12_dcDNA_1.5h	PC-12_dcDNA_12h	PC-12_dcDNA_1h	PC-12_dcDNA_2.5h	PC-12_dcDNA_2h	PC-12_dcDNA_4h	PC-12_dcDNA_6h	PC-12_dcDNA_8h	PK-15_dcDNA_12h	PK-15_dcDNA_1h	PK-15_dcDNA_2h	PK-15_dcDNA_4h	PK-15_dcDNA_6h	PK-15_dcDNA_8h
UL33-34-35	E/L		0.092871297524687	0.0319527076404226	0.0307557875974902	0.0500930677179446	0.0511814860059224	0.0637331017144732	0.0433046090760533	0.027564088284433	0	0.0376351428246273	0.102045039703845	0.0220562508307799	0.036839064517763	0.0417530405622878	0.0619270528241079	0.0673307982932967	0.0839262939671682	0.0950588437801507	0.0215752406797183	0.0310284846385979	0.0521082560626891	0.0695748879291459	0.0809789612020236
UL37-36	L		0.0222971892298304	0.0416429651552356	0.0137677594502426	0.0113822891563148	0.0139952778357486	0.017107278443657	0.029441856216315	0.0261901691238972	0.0344827586206897	0.0314745267630211	0.0208619447030527	0.0644104803184235	0.0250548594048096	0.0260009313796489	0.0163333654794621	0.0205508733727353	0.0204600553615815	0.01256743576295	0.0501367620770606	0.0377625811906765	0.00926903561424839	0.0134962235291703	0.0131850445769249
UL38-39-40	E		0.0424738382514428	0.0916133930915071	0.0924489496296144	0.0664661952912973	0.0484769567025893	0.061457691516178	0.0576048232392436	0.118175181483327	0.0672413793103448	0.100000948370699	0.0363080493741349	0.074553960618748	0.0865069859354354	0.0841418784901592	0.0487885619277462	0.0392051209178152	0.0551904256996208	0.0127372159084633	0.0447388598134867	0.0782636894169823	0.0660608082754091	0.0356508741570781	0.0327290291505135
UL41	L	cluster_10	0.000148838957801817	0.00342465753424658	0	0.000248941996514812	0.000441343743418573	0.000297567691125995	0	0	0	0	9.25737257886232e-05	0.00118623962040332	0	0	0.000201933264834492	0.000276810997477708	0.000176420294719605	0.000114468994244649	0.00108225108225108	9.80824873718798e-05	0.000282908716971065	0.000258815246784963	0.000169178332994443
UL42-43-44	L		0.0243371388391181	0.00370546561914421	0.0108707410803515	0.0204310220575874	0.0191986964470107	0.0144188871045193	0.002710027100271	0.00289445144649295	0	0.00514048531289911	0.0282274279217283	0.00314052839595257	0.00673073841503382	0.00746210109593009	0.0139032288105376	0.0185114377074639	0.0237774427382953	0.0492556421461142	0.00108225108225108	0.0102994335220346	0.00806912579245154	0.0154050628861403	0.0267838365974703
UL48-47-46	L		0.0708126485150094	0.0396529660122013	0.0210518385345298	0.0327201342763465	0.0369407742963426	0.0423635329535067	0.0220344488089076	0.0244196148547645	0.0344827586206897	0.0164665604491484	0.0563014357165008	0.0361183070725469	0.014025930709989	0.0222806932844108	0.0274679148649513	0.0328885905716463	0.0407908394301789	0.0636984841021335	0.0114619542977752	0.0395528876297182	0.0408401384635334	0.0406648628632508	0.0452311892121784
UL49.5-49	L		0.0438750829171701	0.0429545781198443	0.0477438157447379	0.0304614195116517	0.0326424575840564	0.0375298307216941	0.026731829116044	0.0278645250168538	0.0344827586206897	0.0333247979970411	0.0423968526264153	0.0277191210264931	0.0433492132159305	0.0326567503902541	0.0375920547495815	0.0359139882178239	0.0391599522724525	0.0484872202053735	0.0232402920462622	0.0502178492627438	0.0470191397537943	0.0356534823423739	0.0404820892592564
UL5-4	E/L		0.0046150731056133	0.00799464632621512	0.0111939914074654	0.00807535402441833	0.00770137097437671	0.00659837559136656	0.00744902205576363	0.00712223622631923	0	0.00658896349405056	0.00367914530132985	0.00845353990177729	0.00812298183640023	0.00611469346947972	0.00664259357524411	0.00587864378357906	0.00541373756066463	0.00155725601287358	0.00108225108225108	0.00260476403699403	0.00433606480410576	0.00307401159398169	0.00281633876349883
UL50	L	cluster_11	0.00439169133442168	0.02012826819382	0.0228805854050546	0.0133232291526931	0.0120524831226988	0.00938900706021148	0.0396425200207058	0.0434743969282176	0	0.0253107494657512	0.00339978047397689	0.0215565295819373	0.0170557896948828	0.0191003234683532	0.012663446615614	0.00791012850505329	0.00548192411704434	0.00193297919761904	0.00407594064310482	0.0186349923573868	0.0149486972422743	0.00716845415772396	0.00415507775462126
UL51	L	cluster_12	0.00237023353519161	0.0072705271958396	0.0065390579120347	0.00509210689877638	0.00539548811897507	0.00428241164686613	0	0.00518802942814433	0	0.00616219667943806	0.0017668101619236	0.00694461851934715	0.00226836189697263	0.00630001388017187	0.00780441766390285	0.00540823101282879	0.00330663884334899	0.000703585279954	0.00547457517606771	0.00252361391590186	0.00961135388036798	0.00487477418776518	0.0030629072600684
UL52-53-54	E/L		0.00885155336428613	0.0403906650121156	0.031796370323817	0.0150577094632252	0.0183538994837783	0.0174149330131903	0.0267734437644002	0.0377764946116794	0.0172413793103448	0.0481661671914318	0.00648338230495895	0.0418405303191557	0.0385727199913985	0.0411550867812485	0.0142041299651935	0.0139046386250876	0.0147044627849295	0.00343735329390766	0.0236630699317267	0.0361409795214636	0.0211662127969675	0.0133187999115452	0.00959992451061972
UL7-6	E/L		0.00957923858712289	0.00616715014376105	0.00881726440073768	0.0100141701239211	0.00714746533383725	0.00920167561289204	0	0.00822778477982628	0	0	0.00638043687808129	0.00637656549513573	0.0080325249157958	0.00480651241571316	0.0080631867721321	0.00805795088045537	0.00814128426138406	0.00287527163060064	0.000829187396351576	0.00151876017392309	0.00722796049370055	0.00479557904327537	0.00481314679216936
UL9-8	E		0.00505208253539442	0.0127653135381009	0.0119113238066783	0.00624161469806608	0.00365471906922406	0.00645962811930812	0.0111943404078236	0.0141076882492599	0	0.00720572057205721	0.0038551197963275	0.01072153171488	0.0108163938003145	0.0108197448462318	0.004953024585241	0.00483699746770549	0.00618995470886908	0.00086892961318138	0.00432900432900433	0.0151436768253765	0.00765137708404523	0.00352159056766774	0.00308439934745468
US1	E	cluster_6	0.0552707741181819	0.0601519730791317	0.0638174704567231	0.092673460294116	0.070105050572271	0.0676964303435324	0.0284481796128823	0.0579551738624928	0	0.0549217278049644	0.0313767995037255	0.0680868856155537	0.066701400520117	0.0789307791805469	0.0849114506399059	0.0717041995110916	0.0420664521399886	0.0177067352142545	0.0257145010876354	0.0588051028639635	0.0843920792649412	0.0797479168264405	0.0539715429226341
US3-4	L		0.0763965890571066	0.09178441510068	0.084392160600035	0.0947926341594556	0.0618488915297762	0.0716920996460088	0.0863798300904357	0.0907662260261258	0.168965517241379	0.102279567037163	0.0658797674335196	0.0910206722243555	0.1055485810644	0.119302591770064	0.0806147184609614	0.0789487620153594	0.0848365429634388	0.0618676241505319	0.0566735586138571	0.0541504892221934	0.0660093219070142	0.0694419420914267	0.102356826482027
US6-7	L		0.0179115725551384	0.0184128017177101	0.0137677594502426	0.017069434117415	0.0215913406292572	0.0180421040702585	0.00813008130081301	0.00918802942814433	0	0.0176899586510375	0.0155708622152746	0.0146029323381168	0.0197492016587971	0.019487182968828	0.0220513111798451	0.024691609140899	0.0182722615318748	0.0168920385129821	0.00954383924533178	0.0100843092431284	0.0232278723539158	0.0220096766439001	0.0237100518654132
US8-9-2	L		0.0589562634606971	0.0657316293886596	0.0616377844860449	0.0588464914903637	0.0555870722564329	0.0578322675943733	0.0914730570526679	0.0468918720872292	0.151724137931034	0.0674478079991907	0.0401515925236921	0.069087107024668	0.0682305956436773	0.06481700803843	0.0405279770234866	0.0434071280147125	0.0420581910460375	0.0272025129042444	0.0278656501044561	0.0559326221206208	0.040805650920703	0.0297960915120461	0.0282976771723762
