gene	Kinetic_class	hpi	Time	cell_line	group	mean	sd	varcoeff	cluster
UL48	L	4h	4	PK_15	PK_15_4h	83.167			cluster_4
UL48	L	6h	6	PK_15	PK_15_6h	0			cluster_4
UL48	L	8h	8	PK_15	PK_15_8h	0			cluster_4
UL46	L	12h	12	C6	C6_12h	65296.631322			cluster_5
UL46	L	1h	1	C6	C6_1h	32615.78604			cluster_5
UL46	L	2h	2	C6	C6_2h	18810.371122			cluster_5
UL46	L	4h	4	C6	C6_4h	31196.823596			cluster_5
UL46	L	6h	6	C6	C6_6h	36323.970548			cluster_5
UL46	L	8h	8	C6	C6_8h	40887.294558			cluster_5
UL46	L	12h	12	NRK	NRK_12h	31519.688601			cluster_5
UL46	L	1h	1	NRK	NRK_1h	18421.052631			cluster_5
UL46	L	2h	2	NRK	NRK_2h	19607.843137			cluster_5
UL46	L	4h	4	NRK	NRK_4h	22124.564329			cluster_5
UL46	L	6h	6	NRK	NRK_6h	22569.176068			cluster_5
UL46	L	8h	8	NRK	NRK_8h	28666.68958			cluster_5
UL46	L	0.5h	0.5	PC_12	PC_12_0.5h	33333.333333			cluster_5
UL46	L	1.5h	1.5	PC_12	PC_12_1.5h	11553.273427			cluster_5
UL46	L	12h	12	PC_12	PC_12_12h	61585.743619			cluster_5
UL46	L	1h	1	PC_12	PC_12_1h	25152.439025			cluster_5
UL46	L	2.5h	2.5	PC_12	PC_12_2.5h	11627.906976			cluster_5
UL46	L	2h	2	PC_12	PC_12_2h	17777.777777			cluster_5
UL46	L	4h	4	PC_12	PC_12_4h	25582.951564			cluster_5
UL46	L	6h	6	PC_12	PC_12_6h	32003.894789			cluster_5
UL46	L	8h	8	PC_12	PC_12_8h	40961.872543			cluster_5
UL46	L	12h	12	PK_15	PK_15_12h	75101.352706			cluster_5
UL46	L	1h	1	PK_15	PK_15_1h	8233.532934			cluster_5
UL46	L	2h	2	PK_15	PK_15_2h	35000.421694			cluster_5
UL46	L	4h	4	PK_15	PK_15_4h	35574.683966			cluster_5
UL46	L	6h	6	PK_15	PK_15_6h	39397.491562			cluster_5
UL46	L	8h	8	PK_15	PK_15_8h	43627.819035			cluster_5
UL27	L	12h	12	C6	C6_12h	27833.306956			cluster_5
UL27	L	1h	1	C6	C6_1h	16960.208741			cluster_5
UL27	L	2h	2	C6	C6_2h	17285.205897			cluster_5
UL27	L	4h	4	C6	C6_4h	30062.393646			cluster_5
UL27	L	6h	6	C6	C6_6h	27706.572131			cluster_5
UL27	L	8h	8	C6	C6_8h	23634.344838			cluster_5
UL27	L	12h	12	NRK	NRK_12h	23781.679742			cluster_5
UL27	L	1h	1	NRK	NRK_1h	15789.473683			cluster_5
UL27	L	2h	2	NRK	NRK_2h	10620.915032			cluster_5
UL27	L	4h	4	NRK	NRK_4h	14547.658737			cluster_5
UL27	L	6h	6	NRK	NRK_6h	12830.422012			cluster_5
UL27	L	8h	8	NRK	NRK_8h	19317.361564			cluster_5
UL27	L	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_5
UL27	L	1.5h	1.5	PC_12	PC_12_1.5h	7702.182284			cluster_5
UL27	L	12h	12	PC_12	PC_12_12h	29756.703307			cluster_5
UL27	L	1h	1	PC_12	PC_12_1h	15243.902439			cluster_5
UL27	L	2.5h	2.5	PC_12	PC_12_2.5h	15934.539191			cluster_5
UL27	L	2h	2	PC_12	PC_12_2h	20130.718953			cluster_5
UL27	L	4h	4	PC_12	PC_12_4h	18170.587329			cluster_5
UL27	L	6h	6	PC_12	PC_12_6h	18705.238748			cluster_5
UL27	L	8h	8	PC_12	PC_12_8h	30858.553534			cluster_5
UL27	L	12h	12	PK_15	PK_15_12h	33694.17882			cluster_5
UL27	L	1h	1	PK_15	PK_15_1h	2994.011976			cluster_5
UL27	L	2h	2	PK_15	PK_15_2h	15518.259258			cluster_5
UL27	L	4h	4	PK_15	PK_15_4h	11643.379909			cluster_5
UL27	L	6h	6	PK_15	PK_15_6h	17915.268477			cluster_5
UL27	L	8h	8	PK_15	PK_15_8h	30185.262328			cluster_5
UL28	E	12h	12	C6	C6_12h	14.609382			cluster_6
UL28	E	1h	1	C6	C6_1h	0			cluster_6
UL28	E	2h	2	C6	C6_2h	0			cluster_6
UL28	E	4h	4	C6	C6_4h	0			cluster_6
UL28	E	6h	6	C6	C6_6h	0			cluster_6
UL28	E	8h	8	C6	C6_8h	0			cluster_6
UL28	E	12h	12	NRK	NRK_12h	0			cluster_6
UL28	E	1h	1	NRK	NRK_1h	0			cluster_6
UL28	E	2h	2	NRK	NRK_2h	0			cluster_6
UL28	E	4h	4	NRK	NRK_4h	0			cluster_6
UL28	E	6h	6	NRK	NRK_6h	0			cluster_6
UL28	E	8h	8	NRK	NRK_8h	0			cluster_6
