gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	y	ymin	ymax
UL27	L	12h	12	PK-15	0.00825692313486026	0.00719441409408491	0.871319010311541	0.00825692313486026	0.0041032262209787	0.0124106200487418
UL27	L	1h	1	C6	0.00932400932400932	0.00815850815850816	0.875	0.00932400932400932	0.00461369244250888	0.0140343262055098
UL27	L	1h	1	NRK	0.0208333333333333	0.0360843918243516	1.73205080756888	0.0208333333333333	0	0.0416666666666667
UL27	L	1h	1	PC-12	0.00933423301844354	0.00962770792884593	1.03144070967829	0.00933423301844354	0.00377567325404526	0.0148927927828418
UL27	L	1h	1	PK-15	0	0		0	0	0
UL27	L	2.5h	2.5	PC-12	0.00198412698412698	0.00343660874517634	1.73205080756888	0.00198412698412698	0	0.00396825396825397
UL27	L	2h	2	C6	0.00252525252525253	0.00357124636962903	1.4142135623731	0.00252525252525253	0	0.00505050505050505
UL27	L	2h	2	NRK	0.0130320420851267	0.0122809733057577	0.942367529627134	0.0130320420851267	0.0059416188411369	0.0201224653291166
UL27	L	2h	2	PC-12	0.00809618560614032	0.000768161950539483	0.094879488676358	0.00809618560614032	0.00765268709721512	0.00853968411506552
UL27	L	2h	2	PK-15	0.00527976335291233	0.00325903144621119	0.617268469885777	0.00527976335291233	0.00339816067014484	0.00716136603567981
UL27	L	4h	4	C6	0.0149285498958146	0.00761169539246512	0.509875067946094	0.0149285498958146	0.0105339355119854	0.0193231642796438
UL27	L	4h	4	PC-12	0.00637715869154554	0.00336455085742983	0.527594030534374	0.00637715869154554	0.00443463434830625	0.00831968303478484
UL27	L	4h	4	PK-15	0.00147477852197635	0.000327374353858388	0.221982046103894	0.00147477852197635	0.00128576885065043	0.00166378819330227
UL27	L	6h	6	C6	0.0126191075993602	0.000590924509706698	0.0468277574348173	0.0126191075993602	0.0122779371746103	0.0129602780241101
UL27	L	6h	6	PC-12	0.00454993550583001	0.000731502053999113	0.160771961066659	0.00454993550583001	0.00412760259804086	0.00497226841361917
UL27	L	6h	6	PK-15	0.00223053754142092	0.00245296183356635	1.09971779807111	0.00223053754142092	0.000814319366499509	0.00364675571634233
UL27	L	8h	8	C6	0.00208215408530184	0.000906582559353752	0.435406085338939	0.00208215408530184	0.00155873840061633	0.00260556976998735
UL27	L	8h	8	PC-12	0.00515158579235801	0.00647787422074202	1.25745245868786	0.00515158579235801	0.000571037003197807	0.00973213458151821
UL27	L	8h	8	PK-15	0.00790535360366819	0.00361157203365722	0.456851421798692	0.00790535360366819	0.00582021151783847	0.00999049568949791
UL27	L			C6	0			0		
UL27	L			PC-12	0			0		
UL27	L			PK-15	0			0		
UL28	E	0.5h	0.5	C6				0		
UL28	E	0.5h	0.5	PC-12	0	0		0	0	0
UL28	E	1.5h	1.5	PC-12	0	0		0	0	0
UL28	E	12h	12	C6	1.1000011000011e-05	1.90525779358356e-05	1.73205080756888	1.1000011000011e-05	0	2.2000022000022e-05
UL28	E	12h	12	PC-12	0	0		0	0	0
UL28	E	12h	12	PK-15	3.01419081033506e-06	5.22073162720753e-06	1.73205080756888	3.01419081033506e-06	0	6.02838162067012e-06
UL28	E	1h	1	C6	0	0		0	0	0
UL28	E	1h	1	NRK	0	0		0	0	0
UL28	E	1h	1	PC-12	0	0		0	0	0
UL28	E	1h	1	PK-15	0	0		0	0	0
UL28	E	2.5h	2.5	PC-12	0	0		0	0	0
UL28	E	2h	2	C6	0	0		0	0	0
UL28	E	2h	2	NRK	0	0		0	0	0
UL28	E	2h	2	PC-12	0	0		0	0	0
UL28	E	2h	2	PK-15	0	0		0	0	0
UL28	E	4h	4	C6	0.0012531328320802	0.00217048973379559	1.73205080756888	0.0012531328320802	0	0.0025062656641604
UL28	E	4h	4	PC-12	0	0		0	0	0
UL28	E	4h	4	PK-15	0	0		0	0	0
UL28	E	6h	6	C6	0.000102595670462706	0.000177700913878001	1.73205080756888	0.000102595670462706	0	0.000205191340925413
UL28	E	6h	6	PC-12	0	0		0	0	0
UL28	E	6h	6	PK-15	1.80409348812455e-05	3.12478158303589e-05	1.73205080756888	1.80409348812455e-05	0	3.60818697624911e-05
UL28	E	8h	8	C6	0	0		0	0	0
UL28	E	8h	8	PC-12	0	0		0	0	0
UL28	E	8h	8	PK-15	3.73117160388884e-05	1.91565290141657e-05	0.513418600050443	3.73117160388884e-05	2.62516888558209e-05	4.83717432219559e-05
UL28	E			C6	0			0		
UL28	E			PC-12	0			0		
UL28	E			PK-15	0			0		
UL29	E	0.5h	0.5	C6				0		
UL29	E	0.5h	0.5	PC-12	0	0		0	0	0
UL29	E	1.5h	1.5	PC-12	0	0		0	0	0
UL29	E	12h	12	C6	0.000476243685883508	0.000270757516144985	0.568527256466794	0.000476243685883508	0.000319921761052087	0.00063256561071493
UL29	E	12h	12	PC-12	0	0		0	0	0
UL29	E	12h	12	PK-15	4.70839444186948e-05	4.02918375187404e-05	0.855744734562688	4.70839444186948e-05	2.38214411811054e-05	7.03464476562842e-05
UL29	E	1h	1	C6	0.00168350168350168	0.00291591045045266	1.73205080756888	0.00168350168350168	0	0.00336700336700337
UL29	E	1h	1	NRK	0	0		0	0	0
UL29	E	1h	1	PC-12	0	0		0	0	0
UL29	E	1h	1	PK-15	0	0		0	0	0
UL29	E	2.5h	2.5	PC-12	0	0		0	0	0
UL29	E	2h	2	C6	0	0		0	0	0
UL29	E	2h	2	NRK	0	0		0	0	0
UL29	E	2h	2	PC-12	0.0036880553613585	0.00322632862163768	0.874804824092785	0.0036880553613585	0.0018253336631618	0.00555077705955521
UL29	E	2h	2	PK-15	0.000256805341551104	0.000444799899221592	1.73205080756888	0.000256805341551104	0	0.000513610683102209
UL29	E	4h	4	C6	0	0		0	0	0
UL29	E	4h	4	PC-12	0	0		0	0	0
UL29	E	4h	4	PK-15	0.000396434895026205	0.000185583336519165	0.468130678826589	0.000396434895026205	0.000289288305729756	0.000503581484322654
UL29	E	6h	6	C6	0.000567085687883409	0.000265416070016525	0.468035211763435	0.000567085687883409	0.000413847648412116	0.000720323727354702
UL29	E	6h	6	PC-12	0.000154535083114324	0.000193786999460806	1.25400003387867	0.000154535083114324	4.26521068101783e-05	0.00026641805941847
UL29	E	6h	6	PK-15	0.000354871914028639	0.000442890049196979	1.24802789876811	0.000354871914028639	9.91692249033564e-05	0.000610574603153921
UL29	E	8h	8	C6	0.000246664480848964	0.000222971832959131	0.903947873612414	0.000246664480848964	0.000117931633068305	0.000375397328629622
UL29	E	8h	8	PC-12	4.63434980072296e-05	6.55396034096346e-05	1.4142135623731	4.63434980072296e-05	0	9.26869960144592e-05
UL29	E	8h	8	PK-15	0.000948378299602992	0.000391209172774026	0.412503294242175	0.000948378299602992	0.000722513578392457	0.00117424302081353
UL29	E			C6	0			0		
UL29	E			PC-12	0			0		
UL29	E			PK-15	0			0		
UL30	E	0.5h	0.5	C6				0		
UL30	E	0.5h	0.5	PC-12	0	0		0	0	0
UL30	E	1.5h	1.5	PC-12	0.00303030303030303	0.00524863881081478	1.73205080756888	0.00303030303030303	4.33680868994202e-19	0.00606060606060606
UL30	E	12h	12	C6	5.97961261527408e-05	4.86700866616432e-05	0.81393377452784	5.97961261527408e-05	3.16964385171587e-05	8.78958137883229e-05
UL30	E	12h	12	PC-12	7.64490925492714e-06	1.32413712487873e-05	1.73205080756888	7.64490925492714e-06	0	1.52898185098543e-05
UL30	E	12h	12	PK-15	1.47274680136226e-05	1.89972220636202e-05	1.28991772693366	1.47274680136226e-05	3.75941674133639e-06	2.56955192859088e-05
UL30	E	1h	1	C6	0.00764050764050764	0.00675514185741776	0.884122125813219	0.00764050764050764	0.00374042467071339	0.0115405906103019
UL30	E	1h	1	NRK	0	0		0	0	0
UL30	E	1h	1	PC-12	0	0		0	0	0
UL30	E	1h	1	PK-15	0	0		0	0	0
UL30	E	2.5h	2.5	PC-12	0	0		0	0	0
UL30	E	2h	2	C6	0	0		0	0	0
UL30	E	2h	2	NRK	0	0		0	0	0
UL30	E	2h	2	PC-12	0.00269005136934253	0.0025516854770595	0.948563847568141	0.00269005136934253	0.00121683507227497	0.00416326766641009
UL30	E	2h	2	PK-15	0.0025062656641604	0.00434097946759117	1.73205080756888	0.0025062656641604	0	0.0050125313283208
UL30	E	4h	4	C6	0	0		0	0	0
UL30	E	4h	4	PC-12	0.00046982764099402	0.000444062638932961	0.945160735952983	0.00046982764099402	0.000213447956869019	0.00072620732511902
UL30	E	4h	4	PK-15	0.000230670696703961	0.000207622115697609	0.900080151767469	0.000230670696703961	0.000110800012316227	0.000350541381091695
UL30	E	6h	6	C6	0.000502923862676293	0.000645756574282099	1.28400464206595	0.000502923862676293	0.000130096130683553	0.000875751594669033
UL30	E	6h	6	PC-12	0.000141178405169122	0.000124954575679236	0.885082782522928	0.000141178405169122	6.90358472642398e-05	0.000213320963074005
UL30	E	6h	6	PK-15	5.0056352357273e-05	5.45791726311268e-05	1.09035457161506	5.0056352357273e-05	1.85450523465449e-05	8.15676523680011e-05
UL30	E	8h	8	C6	0.000327993123336339	0.000285943923302691	0.871798531609674	0.000327993123336339	0.000162903322244392	0.000493082924428285
UL30	E	8h	8	PC-12	0.000231717490036148	0.000327698017048173	1.4142135623731	0.000231717490036148	0	0.000463434980072296
UL30	E	8h	8	PK-15	0.000190503545354951	9.28645513263298e-05	0.487468887538562	0.000190503545354951	0.00013688817164852	0.000244118919061381
UL30	E			C6	0			0		
UL30	E			PC-12	0			0		
UL30	E			PK-15	0			0		
UL31	L	0.5h	0.5	C6				0		
UL31	L	0.5h	0.5	PC-12	0	0		0	0	0
UL31	L	1.5h	1.5	PC-12	0.0112270243417784	0.0124334742471377	1.10745945395966	0.0112270243417784	0.0040485546382312	0.0184054940453257
UL31	L	12h	12	C6	0.0296150482468755	0.00951131118218549	0.321164804558067	0.0296150482468755	0.0241236901754944	0.0351064063182566
UL31	L	12h	12	PC-12	0.0387062908903926	0.0034738379308943	0.0897486649064727	0.0387062908903926	0.0367006696258696	0.0407119121549155
UL31	L	12h	12	PK-15	0.0328658934650753	0.0113531171708065	0.345437655083706	0.0328658934650753	0.0263111682103688	0.0394206187197818
UL31	L	1h	1	C6	0.00932400932400932	0.00394284831588664	0.422870481878842	0.00932400932400932	0.00704760478745831	0.0116004138605603
UL31	L	1h	1	NRK	0	0		0	0	0
UL31	L	1h	1	PC-12	0	0		0	0	0
UL31	L	1h	1	PK-15	0	0		0	0	0
UL31	L	2.5h	2.5	PC-12	0.0176063587828294	0.00940310662997968	0.534074464002749	0.0176063587828294	0.0121774726387918	0.0230352449268669
UL31	L	2h	2	C6	0.0147739072972718	0.00767651088798763	0.519599232181808	0.0147739072972718	0.00934579439252336	0.0202020202020202
UL31	L	2h	2	NRK	0.026481011416449	0.00261401986833282	0.0987129920086469	0.026481011416449	0.0249718063418	0.027990216491098
UL31	L	2h	2	PC-12	0.0172164067024093	0.00838295651954788	0.486916733813842	0.0172164067024093	0.0123765044992434	0.0220563089055752
UL31	L	2h	2	PK-15	0.00611196712891628	0.00580698150653456	0.950100251531326	0.00611196712891628	0.00275930479293938	0.00946462946489319
UL31	L	4h	4	C6	0.0297067002332286	0.0135964001817994	0.457687998837081	0.0297067002332286	0.0218568149282568	0.0375565855382004
UL31	L	4h	4	PC-12	0.0181123019606361	0.00348539395921725	0.192432412334564	0.0181123019606361	0.0161000088200501	0.020124595101222
UL31	L	4h	4	PK-15	0.0393423270670138	0.00137155407241856	0.0348620474351281	0.0393423270670138	0.0385504599540948	0.0401341941799328
UL31	L	6h	6	C6	0.024446746041557	0.00430411413778993	0.176060819320223	0.024446746041557	0.0219617645854811	0.0269317274976328
