gene	Kinetic_class	hpi	Time	cell_line	group	seqnames	strand	norm_base	sample	read_count	mean	sd	varcoeff	libtype	sample_name	norm.method
UL51	L	4h	4	PC_12	PC_12_4h	LT934125.1	+	1	PC_12_4h	4918.691027	4918.691027			dcDNA	PC_12_4h	WO
UL51	L	4h	4	PK_15	PK_15_4h	LT934125.1	+	1	PK_15_4h	0	0			dcDNA	PK_15_4h	WO
UL51	L	6h	6	C6	C6_6h	LT934125.1	+	1	C6_6h	0	0			dcDNA	C6_6h	WO
UL51	L	6h	6	PC_12	PC_12_6h	LT934125.1	+	1	PC_12_6h	0	0			dcDNA	PC_12_6h	WO
UL51	L	6h	6	PK_15	PK_15_6h	LT934125.1	+	1	PK_15_6h	4532.294615	4532.294615			dcDNA	PK_15_6h	WO
UL51	L	8h	8	C6	C6_8h	LT934125.1	+	1	C6_8h	0	0			dcDNA	C6_8h	WO
UL51	L	8h	8	PC_12	PC_12_8h	LT934125.1	+	1	PC_12_8h	0	0			dcDNA	PC_12_8h	WO
UL51	L	8h	8	PK_15	PK_15_8h	LT934125.1	+	1	PK_15_8h	2907.907492	2907.907492			dcDNA	PK_15_8h	WO
UL50	L	0.5h	0.5	PC_12	PC_12_0.5h	LT934125.1	-	1	PC_12_0.5h	0	0			dcDNA	PC_12_0.5h	WO
UL50	L	1.5h	1.5	PC_12	PC_12_1.5h	LT934125.1	-	1	PC_12_1.5h	19911.504426	19911.504426			dcDNA	PC_12_1.5h	WO
UL50	L	12h	12	C6	C6_12h	LT934125.1	-	1	C6_12h	2112.050578	2112.050578			dcDNA	C6_12h	WO
UL50	L	12h	12	PC_12	PC_12_12h	LT934125.1	-	1	PC_12_12h	1030.667476	1030.667476			dcDNA	PC_12_12h	WO
UL50	L	12h	12	PK_15	PK_15_12h	LT934125.1	-	1	PK_15_12h	697.940504	697.940504			dcDNA	PK_15_12h	WO
UL50	L	1h	1	C6	C6_1h	LT934125.1	-	1	C6_1h	12326.656394	12326.656394			dcDNA	C6_1h	WO
UL50	L	1h	1	NRK	NRK_1h	LT934125.1	-	1	NRK_1h	30303.030303	30303.030303			dcDNA	NRK_1h	WO
UL50	L	1h	1	PC_12	PC_12_1h	LT934125.1	-	1	PC_12_1h	11135.857461	11135.857461			dcDNA	PC_12_1h	WO
UL50	L	1h	1	PK_15	PK_15_1h	LT934125.1	-	1	PK_15_1h	2923.976608	2923.976608			dcDNA	PK_15_1h	WO
UL50	L	2.5h	2.5	PC_12	PC_12_2.5h	LT934125.1	-	1	PC_12_2.5h	14063.65655	14063.65655			dcDNA	PC_12_2.5h	WO
UL50	L	2h	2	C6	C6_2h	LT934125.1	-	1	C6_2h	14869.888476	14869.888476			dcDNA	C6_2h	WO
UL50	L	2h	2	NRK	NRK_2h	LT934125.1	-	1	NRK_2h	19417.475728	19417.475728			dcDNA	NRK_2h	WO
UL50	L	2h	2	PC_12	PC_12_2h	LT934125.1	-	1	PC_12_2h	10673.782522	10673.782522			dcDNA	PC_12_2h	WO
UL50	L	2h	2	PK_15	PK_15_2h	LT934125.1	-	1	PK_15_2h	0	0			dcDNA	PK_15_2h	WO
UL50	L	4h	4	C6	C6_4h	LT934125.1	-	1	C6_4h	5780.346821	5780.346821			dcDNA	C6_4h	WO
UL50	L	4h	4	PC_12	PC_12_4h	LT934125.1	-	1	PC_12_4h	0	0			dcDNA	PC_12_4h	WO
UL50	L	4h	4	PK_15	PK_15_4h	LT934125.1	-	1	PK_15_4h	0	0			dcDNA	PK_15_4h	WO
UL50	L	6h	6	C6	C6_6h	LT934125.1	-	1	C6_6h	0	0			dcDNA	C6_6h	WO
UL50	L	6h	6	PC_12	PC_12_6h	LT934125.1	-	1	PC_12_6h	3811.097489	3811.097489			dcDNA	PC_12_6h	WO
UL50	L	6h	6	PK_15	PK_15_6h	LT934125.1	-	1	PK_15_6h	2750.022177	2750.022177			dcDNA	PK_15_6h	WO
UL50	L	8h	8	C6	C6_8h	LT934125.1	-	1	C6_8h	0	0			dcDNA	C6_8h	WO
UL50	L	8h	8	PC_12	PC_12_8h	LT934125.1	-	1	PC_12_8h	0	0			dcDNA	PC_12_8h	WO
UL50	L	8h	8	PK_15	PK_15_8h	LT934125.1	-	1	PK_15_8h	2021.938693	2021.938693			dcDNA	PK_15_8h	WO
UL49.5	L	0.5h	0.5	PC_12	PC_12_0.5h	LT934125.1	+	1	PC_12_0.5h	0	0			dcDNA	PC_12_0.5h	WO
UL49.5	L	1.5h	1.5	PC_12	PC_12_1.5h	LT934125.1	+	1	PC_12_1.5h	26548.672568	26548.672568			dcDNA	PC_12_1.5h	WO
UL49.5	L	12h	12	C6	C6_12h	LT934125.1	+	1	C6_12h	12301.645581	12301.645581			dcDNA	C6_12h	WO
UL49.5	L	12h	12	PC_12	PC_12_12h	LT934125.1	+	1	PC_12_12h	10477.315077	10477.315077			dcDNA	PC_12_12h	WO
UL49.5	L	12h	12	PK_15	PK_15_12h	LT934125.1	+	1	PK_15_12h	12171.624714	12171.624714			dcDNA	PK_15_12h	WO
UL49.5	L	1h	1	C6	C6_1h	LT934125.1	+	1	C6_1h	24653.312788	24653.312788			dcDNA	C6_1h	WO
UL49.5	L	1h	1	NRK	NRK_1h	LT934125.1	+	1	NRK_1h	20202.020202	20202.020202			dcDNA	NRK_1h	WO
UL49.5	L	1h	1	PC_12	PC_12_1h	LT934125.1	+	1	PC_12_1h	22271.714922	22271.714922			dcDNA	PC_12_1h	WO
UL49.5	L	1h	1	PK_15	PK_15_1h	LT934125.1	+	1	PK_15_1h	8771.929824	8771.929824			dcDNA	PK_15_1h	WO
UL49.5	L	2.5h	2.5	PC_12	PC_12_2.5h	LT934125.1	+	1	PC_12_2.5h	27387.120651	27387.120651			dcDNA	PC_12_2.5h	WO
UL49.5	L	2h	2	C6	C6_2h	LT934125.1	+	1	C6_2h	0	0			dcDNA	C6_2h	WO
UL49.5	L	2h	2	NRK	NRK_2h	LT934125.1	+	1	NRK_2h	19417.475729	19417.475729			dcDNA	NRK_2h	WO
UL49.5	L	2h	2	PC_12	PC_12_2h	LT934125.1	+	1	PC_12_2h	26017.344897	26017.344897			dcDNA	PC_12_2h	WO
UL49.5	L	2h	2	PK_15	PK_15_2h	LT934125.1	+	1	PK_15_2h	25343.953656	25343.953656			dcDNA	PK_15_2h	WO
UL49.5	L	4h	4	C6	C6_4h	LT934125.1	+	1	C6_4h	9458.749345	9458.749345			dcDNA	C6_4h	WO
UL49.5	L	4h	4	PC_12	PC_12_4h	LT934125.1	+	1	PC_12_4h	12346.91829	12346.91829			dcDNA	PC_12_4h	WO
UL49.5	L	4h	4	PK_15	PK_15_4h	LT934125.1	+	1	PK_15_4h	23625.882926	23625.882926			dcDNA	PK_15_4h	WO
UL49.5	L	6h	6	C6	C6_6h	LT934125.1	+	1	C6_6h	12850.366537	12850.366537			dcDNA	C6_6h	WO
UL49.5	L	6h	6	PC_12	PC_12_6h	LT934125.1	+	1	PC_12_6h	13805.234263	13805.234263			dcDNA	PC_12_6h	WO
UL49.5	L	6h	6	PK_15	PK_15_6h	LT934125.1	+	1	PK_15_6h	10435.568028	10435.568028			dcDNA	PK_15_6h	WO
UL49.5	L	8h	8	C6	C6_8h	LT934125.1	+	1	C6_8h	13753.026635	13753.026635			dcDNA	C6_8h	WO
UL49.5	L	8h	8	PC_12	PC_12_8h	LT934125.1	+	1	PC_12_8h	12303.464144	12303.464144			dcDNA	PC_12_8h	WO
UL49.5	L	8h	8	PK_15	PK_15_8h	LT934125.1	+	1	PK_15_8h	0	0			dcDNA	PK_15_8h	WO
UL49	L	0.5h	0.5	PC_12	PC_12_0.5h	LT934125.1	+	1	PC_12_0.5h	0	0			dcDNA	PC_12_0.5h	WO
UL49	L	1.5h	1.5	PC_12	PC_12_1.5h	LT934125.1	+	1	PC_12_1.5h	0	0			dcDNA	PC_12_1.5h	WO
UL49	L	12h	12	C6	C6_12h	LT934125.1	+	1	C6_12h	6189.287286	6189.287286			dcDNA	C6_12h	WO
UL49	L	12h	12	PC_12	PC_12_12h	LT934125.1	+	1	PC_12_12h	5399.05943	5399.05943			dcDNA	PC_12_12h	WO
UL49	L	12h	12	PK_15	PK_15_12h	LT934125.1	+	1	PK_15_12h	7210.526316	7210.526316			dcDNA	PK_15_12h	WO
UL49	L	1h	1	C6	C6_1h	LT934125.1	+	1	C6_1h	3081.664098	3081.664098			dcDNA	C6_1h	WO
UL49	L	1h	1	NRK	NRK_1h	LT934125.1	+	1	NRK_1h	0	0			dcDNA	NRK_1h	WO
UL49	L	1h	1	PC_12	PC_12_1h	LT934125.1	+	1	PC_12_1h	0	0			dcDNA	PC_12_1h	WO
UL49	L	1h	1	PK_15	PK_15_1h	LT934125.1	+	1	PK_15_1h	0	0			dcDNA	PK_15_1h	WO
UL49	L	2.5h	2.5	PC_12	PC_12_2.5h	LT934125.1	+	1	PC_12_2.5h	8882.3094	8882.3094			dcDNA	PC_12_2.5h	WO
UL49	L	2h	2	C6	C6_2h	LT934125.1	+	1	C6_2h	4956.629492	4956.629492			dcDNA	C6_2h	WO
UL49	L	2h	2	NRK	NRK_2h	LT934125.1	+	1	NRK_2h	9708.737864	9708.737864			dcDNA	NRK_2h	WO
UL49	L	2h	2	PC_12	PC_12_2h	LT934125.1	+	1	PC_12_2h	4669.779854	4669.779854			dcDNA	PC_12_2h	WO
UL49	L	2h	2	PK_15	PK_15_2h	LT934125.1	+	1	PK_15_2h	3620.564808	3620.564808			dcDNA	PK_15_2h	WO
UL49	L	4h	4	C6	C6_4h	LT934125.1	+	1	C6_4h	3678.402522	3678.402522			dcDNA	C6_4h	WO
UL49	L	4h	4	PC_12	PC_12_4h	LT934125.1	+	1	PC_12_4h	3412.969286	3412.969286			dcDNA	PC_12_4h	WO
UL49	L	4h	4	PK_15	PK_15_4h	LT934125.1	+	1	PK_15_4h	6170.333686	6170.333686			dcDNA	PK_15_4h	WO
UL49	L	6h	6	C6	C6_6h	LT934125.1	+	1	C6_6h	3880.983182	3880.983182			dcDNA	C6_6h	WO
UL49	L	6h	6	PC_12	PC_12_6h	LT934125.1	+	1	PC_12_6h	3997.65471	3997.65471			dcDNA	PC_12_6h	WO
UL49	L	6h	6	PK_15	PK_15_6h	LT934125.1	+	1	PK_15_6h	4782.296629	4782.296629			dcDNA	PK_15_6h	WO
UL49	L	8h	8	C6	C6_8h	LT934125.1	+	1	C6_8h	4422.92171	4422.92171			dcDNA	C6_8h	WO
UL49	L	8h	8	PC_12	PC_12_8h	LT934125.1	+	1	PC_12_8h	5688.354851	5688.354851			dcDNA	PC_12_8h	WO
UL49	L	8h	8	PK_15	PK_15_8h	LT934125.1	+	1	PK_15_8h	6412.308826	6412.308826			dcDNA	PK_15_8h	WO
UL48	L	0.5h	0.5	PC_12	PC_12_0.5h	LT934125.1	+	1	PC_12_0.5h	0	0			dcDNA	PC_12_0.5h	WO
UL48	L	1.5h	1.5	PC_12	PC_12_1.5h	LT934125.1	+	1	PC_12_1.5h	0	0			dcDNA	PC_12_1.5h	WO
UL48	L	12h	12	C6	C6_12h	LT934125.1	+	1	C6_12h	1566.554071	1566.554071			dcDNA	C6_12h	WO
UL48	L	12h	12	PC_12	PC_12_12h	LT934125.1	+	1	PC_12_12h	812.247879	812.247879			dcDNA	PC_12_12h	WO
UL48	L	12h	12	PK_15	PK_15_12h	LT934125.1	+	1	PK_15_12h	1290.617849	1290.617849			dcDNA	PK_15_12h	WO
UL48	L	1h	1	C6	C6_1h	LT934125.1	+	1	C6_1h	1540.832049	1540.832049			dcDNA	C6_1h	WO
UL48	L	1h	1	NRK	NRK_1h	LT934125.1	+	1	NRK_1h	0	0			dcDNA	NRK_1h	WO
UL48	L	1h	1	PC_12	PC_12_1h	LT934125.1	+	1	PC_12_1h	0	0			dcDNA	PC_12_1h	WO
UL48	L	1h	1	PK_15	PK_15_1h	LT934125.1	+	1	PK_15_1h	0	0			dcDNA	PK_15_1h	WO
UL48	L	2.5h	2.5	PC_12	PC_12_2.5h	LT934125.1	+	1	PC_12_2.5h	0	0			dcDNA	PC_12_2.5h	WO
UL48	L	2h	2	C6	C6_2h	LT934125.1	+	1	C6_2h	0	0			dcDNA	C6_2h	WO
UL48	L	2h	2	NRK	NRK_2h	LT934125.1	+	1	NRK_2h	0	0			dcDNA	NRK_2h	WO
UL48	L	2h	2	PC_12	PC_12_2h	LT934125.1	+	1	PC_12_2h	0	0			dcDNA	PC_12_2h	WO
UL48	L	2h	2	PK_15	PK_15_2h	LT934125.1	+	1	PK_15_2h	362.056481	362.056481			dcDNA	PK_15_2h	WO
